arm,score_key,k,original_proxy_mean,original_proxy_gain,fixed_vocal_proxy_mean,fixed_vocal_proxy_gain,counterfactual_gain_retention,fixed_vocal_beat_v2,fixed_vocal_beat_v5_madmom,fixed_vocal_beat_v5_beat_this,fixed_vocal_coverage
beat_v5_detector_ensemble_confidence_product,beat_v5_detector_ensemble_confidence_product,16,0.5697984520314724,0.08163845227373734,0.40421578937812724,-0.08394421037960781,-1.028243530366538,0.3186821484468437,0.4227263943547135,0.42239518284613914,0.7682134135663039
beat_v5_detector_ensemble_confidence_floor_q25,beat_v5_detector_ensemble_confidence_floor_q25,1,0.06349690232367329,0.0,0.06349690232367329,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble_confidence_floor_q25,beat_v5_detector_ensemble_confidence_floor_q25,2,0.22986136451583083,0.16636446219215756,0.29571605473938695,0.23221915241571367,1.3958458997540673,0.54020226593756,0.4957528493752498,0.498536409402898,0.774903539253958
beat_v5_detector_ensemble_confidence_floor_q25,beat_v5_detector_ensemble_confidence_floor_q25,4,0.39043571801572513,0.32693881569205185,0.3404263481237527,0.27692944580007944,0.8470375266206478,0.46022333442546204,0.445996922678772,0.4493178287439299,0.8186341533306118
beat_v5_detector_ensemble_confidence_floor_q25,beat_v5_detector_ensemble_confidence_floor_q25,8,0.49050352258047025,0.427006620256797,0.2766260537226232,0.21312915139894995,0.49912376363339866,0.46845195975054654,0.47508760691251506,0.48007360409523797,0.8009729903707219
beat_v5_detector_ensemble_confidence_floor_q25,beat_v5_detector_ensemble_confidence_floor_q25,16,0.5639423650694939,0.5004454627458206,0.32186889705843946,0.2583719947347662,0.5162840188761886,0.39894761026974257,0.4684831291334982,0.46688973944242146,0.7840571083210288
beat_v5_detector_ensemble_dual_floor_q25,beat_v5_detector_ensemble_dual_floor_q25,1,-0.010418745127853679,0.0,-0.010418745127853679,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble_dual_floor_q25,beat_v5_detector_ensemble_dual_floor_q25,2,0.1523428671077744,0.16276161223562807,0.152267111244386,0.16268585637223967,0.9995345593942708,0.54020226593756,0.4957528493752498,0.498536409402898,0.774903539253958
beat_v5_detector_ensemble_dual_floor_q25,beat_v5_detector_ensemble_dual_floor_q25,4,0.37136410030025213,0.3817828454281058,0.26400955173257235,0.274428296860426,0.7188073014456698,0.361197360399488,0.41822145248232245,0.4207160414611294,0.8279686393774284
beat_v5_detector_ensemble_dual_floor_q25,beat_v5_detector_ensemble_dual_floor_q25,8,0.4714319048649972,0.4818506499928509,0.20020925733144285,0.21062800245929653,0.4371230016238882,0.3694259857245725,0.4473121367160655,0.45147181681243753,0.8103074764175384
beat_v5_detector_ensemble_dual_floor_q25,beat_v5_detector_ensemble_dual_floor_q25,16,0.5448707473540209,0.5552894924818745,0.2454521006672591,0.25587084579511277,0.46078820013592237,0.29992163624376855,0.4407076589370487,0.438287952159621,0.7933915943678452
